חודש,סעיף,תקציב (אלפי שח),ביצוע (אלפי שח)
2026-01,הכנסות שכירות משרדים,8200,8235
2026-02,הכנסות שכירות משרדים,8200,8180
2026-03,הכנסות שכירות משרדים,8300,8322
2026-04,הכנסות שכירות משרדים,8300,8291
2026-05,הכנסות שכירות משרדים,8400,8455
2026-06,הכנסות שכירות משרדים,8400,8472
2026-01,הכנסות שכירות מסחר,5600,5588
2026-02,הכנסות שכירות מסחר,5600,5612
2026-03,הכנסות שכירות מסחר,5650,5601
2026-04,הכנסות שכירות מסחר,5650,5297
2026-05,הכנסות שכירות מסחר,5700,5233
2026-06,הכנסות שכירות מסחר,5700,5305
2026-01,הכנסות דמי ניהול,900,905
2026-02,הכנסות דמי ניהול,900,893
2026-03,הכנסות דמי ניהול,900,911
2026-04,הכנסות דמי ניהול,920,927
2026-05,הכנסות דמי ניהול,920,915
2026-06,הכנסות דמי ניהול,920,931
2026-01,הוצאות תפעול נכסים,-2600,-2588
2026-02,הוצאות תפעול נכסים,-2600,-2634
2026-03,הוצאות תפעול נכסים,-2650,-2661
2026-04,הוצאות תפעול נכסים,-2650,-2612
2026-05,הוצאות תפעול נכסים,-2700,-2745
2026-06,הוצאות תפעול נכסים,-2700,-2733
2026-01,הנהלה וכלליות,-1450,-1462
2026-02,הנהלה וכלליות,-1450,-1441
2026-03,הנהלה וכלליות,-1450,-1473
2026-04,הנהלה וכלליות,-1480,-1469
2026-05,הנהלה וכלליות,-1480,-1502
2026-06,הנהלה וכלליות,-1480,-1491
2026-01,הוצאות מימון,-3100,-3134
2026-02,הוצאות מימון,-3100,-3189
2026-03,הוצאות מימון,-3100,-3305
2026-04,הוצאות מימון,-3150,-3392
2026-05,הוצאות מימון,-3150,-3441
2026-06,הוצאות מימון,-3150,-3486
2026-01,השקעות הוניות (CAPEX),-1800,-1755
2026-02,השקעות הוניות (CAPEX),-1800,-1832
2026-03,השקעות הוניות (CAPEX),-1900,-1911
2026-04,השקעות הוניות (CAPEX),-1900,-2088
2026-05,השקעות הוניות (CAPEX),-2000,-2296
2026-06,השקעות הוניות (CAPEX),-2000,-2540
